number,type,topic,author,commentator,word count,comments,
33,maxims,-,"Taylor, Geoffrey B.","Ganachaud, Serge;  Elliott, Marie; DiMercurio, dominick II",154,,
35,chat,tattoo,"Sokolowsky, Kacper","Kipo; Sewe; Engelhardt Joseph Gary; William, Henry",65,,
34,trad wishes,kijetasantakalu,Kipo,"Sewe; Moreira, Antonio Lucas Araujo; Mato, Steenblik, Rick; ",213,,
36,discussion,"""laso kala"" ","Ronaszeki, Daniel","Sotan; Sokolowski, Kacper; Richardson, Matthew; Kipo",144,not finished,
37,discussion,"new words, kama e",Kipo,Sewe,20,,
38,announcement,music,Sotan,Kipo,200,not finished,
39,poem,traveler's musing,Mali,-,129,,
40,vignette,cat tattoo,Sala,Sewe;,106,,
41,discussion,citation rule,Sewe,Mali,27,,
42,discussion,"women, computers","Campbell,Anne","Sewe, Hansberry, Christa",314,,
43,intro,Waliwd,"Khalil, Walied","Campbell, Anne; Flear, Jaames, DDII, Kipo",36,,
44,what langs,sign lang,"Eads, Andrew","Soley, Aaron; Sewe; Flear, Mali",162,,
45,poem,hot air,"Moreno, Said",-,11,,
46,discussion,holon,JB-S,Flear,73,,
47,translation,little fleas,Kipo,"Flear; Richardson, Matthew, Wiki",108,,
48,recording,vocal tp,"Bell, Nikio",Jona,25,,
49,poem,now I like,"Moreno, Said","Eads, Andrew; Andree, Devan",54,,
50,translation,poemwaiting to be dead,"Hart, J D",Anjo,91,,
51,translation,lyrics Stairway to the stars,Led Zeppelin,"Moreno, Said",428,,
52,Announcement,fun page,"Casas, Brian",-,53,,
53,maxim,fight the bosses,"Mims, Anthony",-,6,sitelen sitelen,
54,vignette,my everything,-,-,4,"sitelen pona, no clear",
55,translation,lyrics Bohemian rhapsody,Queen,"William, Henry; Sewe, van Hauw,Lynn",613,not finished,
56,vignette,crazy dog,"Weinheimer, Lara","Wiki, Kipo",29,,
57,wile sona,tp,pisces,-,13,,
58,status,know,pisces,-,9,,
59,greetings,-,pisces,socks,8,,
60,chat,"tp,sit pon",socks,"piscs; Doggaz, oy m9",123,sp,
61,chat,"music, booze, pot",sota,socks; kala,120,,
62,chat,marijuana,sota,"kala, kipo",59,,
63,vignette,ornaments,Sala,Sewe,97,,
64,meme,balloons,gleki (in lbj),"Tihonov, Sergey",27,,
65,fun,sentence game,sprosh,sproshua: linguistrose: AetherCrux: ila-taun; impgristle:,133,,
66,announcement,word game,jbs,-,49,,
67,fun,question game,jbs,-,65,,
68,fun,groups and songs,"Howlett, Chris","Campbell, Anne",117,not finished,
69,instruction,chess,Lê Hoàng Kim D??ng,"Ward-Lee, Ruth: Mittelstadt, Piotr",198,,
70,instruction,modified chess,Lê Hoàng Kim D??ng,"Mittelstadt, Piotr; jbs",106,,
71,proposal,language contest,"ddII;
"," Jona, Sala, Hansberry, Christa; Mali",215,,
72,,,,,,,
73,fun,ouzzle,ddII,"Sotan, Sewe",204,,
74,announcement,computer game,"Taylor, Geoffrey B.","Maow, Ponojo; Harness, John: Mali; Wiki",227,,
75,maxim,april showers,jbs,"Sewe, Sala",89,,
76,Fairy tale,Goldilocks,Kipo,-,514,,
77,maxim,look it up,Sewe,-,20,,
78,review,pu,p2p editor,Open-Username,7,,
79,Bedtime story,bears,Kipo,"jbs. Hansberry, Christa",528,,
80,criticis,word lists,Sewe,-,72,,
81,definitions,tp-tp,"Kotwica, Michal","Jona, Pilo, Sewe",281,,
82,vignette,nothing happened,-,-,111,,
83,translation,B Gen 11;1-9,-,-,244,Babel,
84,translation ,sp Mario Savio,-,-,98,,
85,instrution,odd sentences,-,-,103,,
86,criticism,ala,Kipo,??????? ???????,427,,
87,chat,send a muse,Mali,-,14,,
88,discussion,holon,jbs,"Mali; Engelhardt, Joseph Gary",86,,
89,discussion ,pona ala,contrum,dommitor,23,,
90,maxim,i am god,"Anthodny, Michael",-,19,,
91,usage,ilo toki,contrum,"Mali, glottal-stop, dommitor",54,,
92,chat,earache,"Punter, Michael","Kipo, Mato",40,,
93,definitions,tp-tp,??????? ???????,Bell. Niko; ; DDII,204,,
94,intro,various,"Weges, Maxine","Pelepenosas, NJ; Engelhardt, Joseph Gary",23,,
95,joke,restaurant Insa,"Campbell, Anne","Kipo, Hansberry, Christa, Sewe",212,,
96,definition,clean," Hess, Zachary","Chs, Louis; Kipo",116,,
97,fun,riddle,"Baldwin, Joshua",-,54,,
98,maxim,nuts use tp,"Tihonov, Sergey",-,25,,
99,criticism,no sp for kin,"Casas, Bryan",Kipo,147,,
100,crticism,kin not a,"Hansberry, Crista","Campbell, Anne; ddii, litill hrafn, Kipo; Engelhardt, JosephnGary; Pilo",129,,
